Campaign_ID,Campaign_Name,Channel,Region,Month,Impressions,Clicks,CTR,Conversions,Conversion_Rate,Spend_USD,Revenue_USD,ROAS
MC001,Summer Sale,Google Ads,North America,January,125000,4200,3.36,210,5.00,4800,18600,3.88
MC002,Summer Sale,Facebook Ads,Europe,January,98000,2850,2.91,142,4.98,3600,10950,3.04
MC003,Product Launch,LinkedIn,Asia,January,42000,1450,3.45,88,6.07,2400,12400,5.17
MC004,Brand Awareness,Instagram,North America,February,182000,5400,2.97,175,3.24,6200,15800,2.55
MC005,Retargeting,Google Ads,Europe,February,68000,3950,5.81,330,8.35,4100,27200,6.63
MC006,Lead Generation,LinkedIn,Australia,February,36000,1220,3.39,94,7.70,1900,9800,5.16
MC007,Spring Promo,Facebook Ads,Asia,March,118000,3400,2.88,180,5.29,4200,16800,4.00
MC008,Email Campaign,Email,North America,March,54000,6100,11.30,560,9.18,900,31500,35.00
MC009,Product Launch,Google Ads,Europe,March,145000,5200,3.59,320,6.15,5700,28400,4.98
MC010,Webinar Promotion,LinkedIn,North America,April,39000,1680,4.31,155,9.23,2300,14900,6.48
MC011,Summer Sale,Instagram,Asia,April,161000,4820,2.99,240,4.98,5100,19700,3.86
MC012,Retargeting,Google Ads,Australia,April,74000,4520,6.11,410,9.07,4300,34800,8.09
MC013,Email Campaign,Email,Europe,May,49000,5500,11.22,510,9.27,850,28900,34.00
MC014,Lead Generation,Facebook Ads,North America,May,99000,3100,3.13,165,5.32,3400,14100,4.15
MC015,Brand Awareness,Instagram,Europe,May,205000,5980,2.92,210,3.51,7100,18100,2.55
MC016,Product Launch,Google Ads,Asia,June,151000,5610,3.72,355,6.33,5900,32700,5.54
MC017,Webinar Promotion,LinkedIn,Europe,June,47000,1930,4.11,188,9.74,2400,17300,7.21
MC018,Email Campaign,Email,Asia,June,58000,6420,11.07,590,9.19,950,34400,36.21
MC019,Retargeting,Google Ads,North America,July,81000,5010,6.19,470,9.38,4600,38100,8.28
MC020,Summer Sale,Facebook Ads,Australia,July,93000,2810,3.02,149,5.30,3300,12100,3.67
